CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Mecânica,1993.0,1.0,Engenharia De Produção Civil,2000.0,3,Educação Tecnológica,2016.0,3.0,Química,2015.0,1.0
Mecânica,1995.0,1.0,Engenharia De Controle E Automação,2013.0,3,Ciências Da Computação,2004.0,3.0,Fisica,2015.0,1.0
Mecânica,1979.0,1.0,Física,2003.0,3,Educação Tecnológica,2008.0,3.0,Programa De Pós-graduação Em Estudos De Linguagens,2017.0,1.0
Mecânica,2002.0,1.0,Engenharia Industrial Mecânica,1979.0,3,Ciências Da Computação,2007.0,3.0,Fisiologia E Farmacologia,2021.0,1.0
Mecânica,1981.0,1.0,Matemática,2007.0,3,Administração,2019.0,3.0,Fitotecnia (produção Vegetal),2003.0,1.0
  Mecânico,1974.0,1.0,Engenharia Industrial Mecânica,2004.0,3,"Saneamento, Meio Ambiente E Recursos Hídricos",2016.0,3.0,Química,2006.0,1.0
Meio Ambiente,2001.0,1.0,Engenharia De Produção Civil,2002.0,3,Tecnologia,1993.0,3.0,Geografia,2019.0,1.0
Saneamento,1994.0,1.0,Engenharia Civil,2012.0,3,Engenharia De Materiais,2011.0,3.0,Geografia,2016.0,1.0
Química Industrial,1978.0,1.0,Matemática,2010.0,3,Engenharia Mecânica,1992.0,3.0,Geografia,2014.0,1.0
Química Industrial,1979.0,1.0,Química Tecnológica,2011.0,3,Engenharia Mecânica,1993.0,3.0,Geografia,2013.0,1.0
Química Industrial,1986.0,1.0,Engenharia Civil,2009.0,3,Tecnologia,1995.0,3.0,Geografia,2008.0,1.0
Química Industrial,1991.0,1.0,Química,2001.0,3,Química,2011.0,3.0,Geociências E Meio Ambiente,2018.0,1.0
Química Industrial,1995.0,1.0,Engenharia De Materiais,2011.0,3,Estudos De Linguagens,2019.0,3.0,Genética E Melhoramento De Plantas,2017.0,1.0
Química Industrial,1996.0,1.0,Engenharia Elétrica,1995.0,3,Engenharia De Produção,2007.0,3.0,Genética,2019.0,1.0
Química Industrial,1999.0,1.0,Engenharia Industrial Mecânica,1992.0,2,"Saneamento, Meio Ambiente E Recursos Hídricos",2007.0,3.0,Genética,2018.0,1.0
Química Industrial,2001.0,1.0,Letras,2004.0,2,Tecnologia,2004.0,3.0,Química,2007.0,1.0
Química Industrial,2006.0,1.0,Geografia,2003.0,2,Engenharia Mecânica,1999.0,3.0,Genética,2014.0,1.0
Química Industrial,2007.0,1.0,Direito,2005.0,2,Engenharia Elétrica,2005.0,3.0,Física E Astronomia,2016.0,1.0
Química Industrial,2008.0,1.0,Engenharia Industrial Mecânica,1994.0,2,Engenharia De Materiais,2008.0,3.0,Química,2008.0,1.0
Qúimica,1996.0,1.0,Letras,2002.0,2,Engenharia Elétrica,2018.0,2.0,Física,2017.0,1.0
Radiologia,2003.0,1.0,Letras,2001.0,2,Educação,2002.0,2.0,Química,2010.0,1.0
Saneamento,1992.0,1.0,Engenharia Industrial Mecânica,1997.0,2,Engenharia Metalúrgica E De Minas,2011.0,2.0,Física,2000.0,1.0
Saneamento,1996.0,1.0,Pedagogia,1997.0,2,Engenharia Metalúrgica E De Minas,2016.0,2.0,Física,1995.0,1.0
Meio Ambiente,2003.0,1.0,Pedagogia,1999.0,2,Engenharia Elétrica,2006.0,2.0,Química E Biotecnologia,2010.0,1.0
Saneamento,1997.0,1.0,Pedagogia,2000.0,2,Educação Tecnológica,2002.0,2.0,Química Analítica,2019.0,1.0
Segundo Grau  - Eletrônica,1993.0,1.0,Pedagogia,2001.0,2,Engenharia Metalúrgica E De Minas,2018.0,2.0,Química Orgânica,2021.0,1.0
Teatro Universitário,2006.0,1.0,Pedagogia,2002.0,2,Educação Tecnológica,2001.0,2.0,Química Orgânica,2015.0,1.0
Telecomunicações,2004.0,1.0,Engenharia Industrial Mecânica,2001.0,2,Engenharia Química,1996.0,2.0,Química Orgânica,2017.0,1.0
Transportes E Trânsito,2007.0,1.0,Pedagogia,2005.0,2,Letras,2017.0,2.0,Sustainable Energy Systems,2014.0,1.0
Turismo,2001.0,1.0,Pedagogia,2012.0,2,Ciências Técnicas Nucleares,2009.0,2.0,Epidemiologia Em Saúde Pública,2019.0,1.0
Turismo,2005.0,1.0,Letras,1999.0,2,Educação,2015.0,2.0,Tecnologia De Alimentos,2007.0,1.0
Turismo - Produção De Eventos,2008.0,1.0,Letras,1996.0,2,Educação,2010.0,2.0,Tecnologia Nuclear,2000.0,1.0
Turismo E Lazer,1998.0,1.0,Nutrição,1998.0,2,Engenharia Química,2008.0,2.0,Tecnologias Da Inteligência E Design Digital,2018.0,1.0
Turismo E Lazer,2002.0,1.0,Engenharia Ambiental E Sanitária,2011.0,2,Economia Aplicada,2015.0,2.0,Thermique Et Energétique,1992.0,1.0
Turismo E Lazer,2006.0,1.0,Letras,2005.0,2,Engenharia Mecânica,2019.0,2.0,Ensino E Divulgação Das Ciências,2017.0,1.0
Turismo E Lazer,2008.0,1.0,Enfermagem,2010.0,2,Engenharia Elétrica,2007.0,2.0,Engenharia Química,2018.0,1.0
Téc Em Eletrônica,1991.0,1.0,Administração,2010.0,2,Matemática,2012.0,2.0,Tratamento Da Informação Espacial,2021.0,1.0
Téc. Em Química,1997.0,1.0,Engenharia Industrial Elétrica,1991.0,2,Matemática,2014.0,2.0,Engenharia Química,2016.0,1.0
Química Industrial,1969.0,1.0,Sistemas De Informação,2012.0,2,Mestrado Multicêntrico Em Química,2018.0,2.0,Engenharia Química,2011.0,1.0
Química,2013.0,1.0,Engenharia Civil,2007.0,2,Construção Civil,2016.0,2.0,Engenharia Química,2009.0,1.0
Química,2012.0,1.0,Física,2001.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2017.0,2.0,Engenharia Química,2008.0,1.0
Química,2010.0,1.0,Matemática,1983.0,2,Comunicação Social,2013.0,2.0,Engenharia Química,2007.0,1.0
Meio Ambiente,2005.0,1.0,Matemática,2008.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2016.0,2.0,Engenharia Química,1994.0,1.0
