CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Edificações,1998.0,1,Engenhari Industrial Elétrica,2008.0,1.0,,,,,,
Edificações,2005.0,1,Engenhari Mecânica,1989.0,1.0,,,,,,
Edificações,2006.0,1,Engenharia Ambiental E Sanitária,2017.0,1.0,,,,,,
Edificações,2010.0,1,Engenharia Ambiental E Sanitária,2018.0,1.0,,,,,,
Edificações,2011.0,1,Engenharia Ambiental E Sanitária,2019.0,1.0,,,,,,
Edificações,2012.0,1,Engenharia De Automação Industrial,2012.0,1.0,,,,,,
Edificações / Construção Civil,2004.0,1,Engenharia De Automação Industrial,2013.0,1.0,,,,,,
Edificações: Planejamento E Projetos,2006.0,1,Engenharia De Computação,2011.0,1.0,,,,,,
Eletromecanica,2004.0,1,Engenharia De Computação,2016.0,1.0,,,,,,
Eletromecanica,2007.0,1,Engenharia De Controle E Automação,2012.0,1.0,,,,,,
Eletromecânica,1985.0,1,Engenharia Elétrica,2008.0,1.0,,,,,,
Eletromecânica,1989.0,1,Engenharia Industrial Eletrica,1990.0,1.0,,,,,,
 Química,1992.0,1,Engenharia Mecânica,2002.0,1.0,,,,,,
 Química,1988.0,1,Engenharia Industrial Mecânica,1988.0,1.0,,,,,,
 Química,1981.0,1,Engenharia Industrial Mecânica,2001.0,1.0,,,,,,
 Industrial Em Eletrônica,1992.0,1,Engenharia Industrial Mecânica,2002.0,1.0,,,,,,
 Agrícola,2007.0,1,Engenharia Industrial Mecânica,2006.0,1.0,,,,,,
 Edificações,1988.0,1,Engenharia Industrial Mecânica,2008.0,1.0,,,,,,
 Eletromecânica,1994.0,1,Engenharia Industrial Mecânica,2012.0,1.0,,,,,,
 Eletromecânica,1996.0,1,Engenharia Insutrial Eletrica,1984.0,1.0,,,,,,
 Eletronica,1997.0,1,Engenharia Mecanica,1990.0,1.0,,,,,,
 Eletronica,2006.0,1,Engenharia Mecanica,2002.0,1.0,,,,,,
 Eletrotécnica,1980.0,1,Engenharia Mecatrônica,2011.0,1.0,,,,,,
 Eletrônica,1983.0,1,Engenharia Mecânica,1978.0,1.0,,,,,,
 Eletrônica Industrial,1993.0,1,Engenharia Mecânica,1982.0,1.0,,,,,,
 Eletrônica Industrial,1996.0,1,Engenharia Mecânica,1986.0,1.0,,,,,,
 Eletrônico,2001.0,1,Engenharia Mecânica,1990.0,1.0,,,,,,
 Industrial De Mecânica,1988.0,1,Engenharia Mecânica,1992.0,1.0,,,,,,
 Industrial Em Eletrônica,1995.0,1,Engenharia Mecânica,1994.0,1.0,,,,,,
 Meânica,1981.0,1,Engenharia Mecânica,1995.0,1.0,,,,,,
