CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Telecomunicações,2005.0,1.0,Química,2013.0,3,Educação,2012.0,2.0,Tecnologia De Alimentos,2011.0,1.0
Instrumentação,1982.0,1.0,Programa Especial De Formação De Docente,2015.0,3,Matemática,2016.0,2.0,Sistemi Di Produzione & Design Industriale,2013.0,1.0
Instrumentação Eletrônica E Controle De Porcessos,2006.0,1.0,Química,2011.0,3,Engenharia Civil,2006.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2018.0,1.0
Magistério,1999.0,1.0,Engenharia De Minas,2017.0,3,Engenharia Civil,2000.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2012.0,1.0
Turismo,2007.0,1.0,Engenharia Química,2014.0,3,Educação Tecnológica,2003.0,2.0,Química,2018.0,1.0
Turismo,2003.0,1.0,Física,2015.0,3,Educação Tecnológica,2004.0,2.0,Recursos Hídricos E Saneamento Ambiental,2004.0,1.0
Mecânica,1977.0,1.0,Engenharia De Produção Civil,2010.0,3,Educação,2004.0,2.0,Química Orgânica,2019.0,1.0
Mecânica,1978.0,1.0,Engenharia Industrial Mecânica,2000.0,3,Informática,2012.0,2.0,Química E Biotecnologia,2015.0,1.0
Transportes E Trânsito,2010.0,1.0,Letras,2015.0,2,Educação,2011.0,2.0,Química Analítica,2021.0,1.0
Mecânica,1979.0,1.0,Letras,2012.0,2,Engenharia Ambiental,2016.0,2.0,Química Analítica,2019.0,1.0
Mecânica,1981.0,1.0,Pedagogia,2010.0,2,Letras,2019.0,2.0,Química Analítica,2010.0,1.0
Mecânica,2011.0,1.0,Engenharia Industrial Elétrica,2008.0,2,Economia Aplicada,2017.0,2.0,Programa De Pós-graduaçãoemengenharia Química - Ufmg,2021.0,1.0
Mecânica,2010.0,1.0,Pedagogia,2006.0,2,Economia,2005.0,2.0,Programa De Pós-graduação Em Letras E Linguística,2018.0,1.0
Mecânica Industrial,2000.0,1.0,Letras,2003.0,2,Engenharia Agrícola,2008.0,2.0,Geografia E Gestão Ambiental,2010.0,1.0
Mecânica,2013.0,1.0,Letras,2005.0,2,Construção Civil,2018.0,2.0,Imunologia E Parasitologia Aplicadas,2014.0,1.0
Química,1971.0,1.0,Letras,2010.0,2,Comunicação Social,2015.0,2.0,Microbiologia Agrícola,2016.0,1.0
Processamento De Dados,1997.0,1.0,Engenharia Elétrica,1991.0,2,Educação Tecnológica,2001.0,2.0,Microbiologia (conceito Capes 7),2019.0,1.0
Pós-médio Meio Ambiente,2006.0,1.0,Direito,2013.0,2,Engenharia De Produção,2004.0,2.0,Matemática Aplicada,2019.0,1.0
Química Industrial,1994.0,1.0,Enfermagem,2015.0,2,Engenharia Civil,2013.0,2.0,Matemática,2021.0,1.0
Informática Industrial,2004.0,1.0,Letras,2008.0,2,Engenharia Mecânica,2005.0,2.0,Matemática,2015.0,1.0
Química Industrial,1988.0,1.0,Engenharia Industrial Mecânica,1989.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2011.0,2.0,Lingüística,2017.0,1.0
Quimica,1997.0,1.0,Letras,2006.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2016.0,2.0,Gestão & Organização Do Conhecimento,2019.0,1.0
Quimica,2001.0,1.0,Engenharia Industrial Mecânica,1996.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2017.0,2.0,Modelagem Computacional,2019.0,1.0
Química Industrial,1972.0,1.0,Engenharia Elétrica,1992.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2019.0,2.0,Geotecnia,2017.0,1.0
Química,2017.0,1.0,Engenharia Industrial Mecânica,1998.0,2,Evolução Crustal E Recursos Naturais,2018.0,2.0,Geotecnia,2014.0,1.0
Química,2015.0,1.0,Pedagogia,1995.0,2,Engenharia Mecânica,1991.0,2.0,Geology,2006.0,1.0
Quimica Industrial,2004.0,1.0,Engenharia De Materiais,2016.0,2,Engenharia Mecânica,1994.0,2.0,Geologia,2016.0,1.0
Química,1979.0,1.0,Engenharia Civil,2005.0,2,Engenharia Mecânica,1995.0,2.0,Geografia Rio Claro,2003.0,1.0
Mecânica Industrial,1996.0,1.0,Engenharia Industrial Elétrica,2005.0,2,Engenharia Mecânica,1996.0,2.0,Geografia Humana E Estudos Urbanos,2017.0,1.0
Química,2012.0,1.0,Engenharia Elétrica,2001.0,2,Engenharia Mecânica,2001.0,2.0,Microeletrônica,2010.0,1.0
Química,1982.0,1.0,Pedagogia,2012.0,2,Engenharia Mecânica,2007.0,2.0,Modelagem Matematica E Computacional,2017.0,1.0
Química,1986.0,1.0,Engenharia Civil,2018.0,2,Engenharia Elétrica,2010.0,2.0,Programa De Pós-graduação Em Letras Da Ufmg / Estudos Literários,2012.0,1.0
Química,1989.0,1.0,Engenharia De Produção Civil,2009.0,2,Engenharia Mecânica,2008.0,2.0,Programa De Pós-graduação Em Engenharia Elétrica,2012.0,1.0
Química,1991.0,1.0,Engenharia De Computação,2013.0,2,Estudos Literários,2013.0,2.0,Programa De Pós-graduação Em Estudos Da Tradução,2014.0,1.0
Química,2010.0,1.0,Engenharia De Computação,2016.0,2,Engenharia Mecânica,2016.0,2.0,Programa De Pós-graduação Em Engenharia Mecânica - Ufmg,2020.0,1.0
Química,1993.0,1.0,Engenharia De Computação,2017.0,2,Engenharia Mecânica,2020.0,2.0,Programa De Pós-graduação Em Engenharia Mecânica - Puc Minas,2020.0,1.0
Química,2008.0,1.0,Letras - Português,2010.0,2,Engenharia Metalúrgica E De Minas,2014.0,2.0,Programa De Pós-graduação Em Engenharia Mecânica - Puc Minas,2018.0,1.0
Química,1994.0,1.0,Farmácia,2017.0,2,Engenharia Metalúrgica E De Minas,2015.0,2.0,Programa De Pós-graduação Em Engenharia Elétrica,2018.0,1.0
Química,2005.0,1.0,Engenharia De Controle E Automação,2016.0,2,Engenharia Metalúrgica E De Minas,2018.0,2.0,Programa De Pós-graduação Em Engenharia Elétrica,2014.0,1.0
Química,2004.0,1.0,Engenharia De Controle E Automação,2018.0,2,Engenharia Metalúrgica E De Minas,2020.0,2.0,"Programa De Pós-graduação Em Educação: Conhecimento E Inclusão Social, Da F",2017.0,1.0
Planejamento E Gestão Em Tecnologia Da Informação,2009.0,1.0,Matemática,2003.0,2,Engenharia Química,1999.0,2.0,Modelagem Matemática E Computacional,2020.0,1.0
Planejamento E Gestão Em Tecnologia Da Informação,2008.0,1.0,Matemática,1985.0,2,Engenharia Química,2010.0,2.0,Programa De Pós-graduação,2021.0,1.0
Mineração,2010.0,1.0,Matemática,2002.0,2,Engenharia Elétrica,2020.0,2.0,Programa De Pós Psicologia,2018.0,1.0
Mineração,2009.0,1.0,Engenharia De Materiais,2012.0,2,Engenharia Elétrica,2007.0,2.0,Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais,2020.0,1.0
Química,2002.0,1.0,Engenharia De Minas,2015.0,2,História,2009.0,2.0,Neuroquímica,2018.0,1.0
Mecânica Industrial,2001.0,1.0,Engenharia Civil,2017.0,2,Engenharia De Produção,2001.0,2.0,Música,2019.0,1.0
Mecânica Industrial,2010.0,1.0,Engenharia De Produção Civil,2012.0,2,Engenharia Da Energia - Cefet/mg - Ufsj,2012.0,2.0,Mundo Antigo,2013.0,1.0
Mecânica Industrial,2011.0,1.0,Engenharia De Produção Civil,2016.0,2,Engenharia Da Energia - Cefet/mg - Ufsj,2015.0,2.0,Geologia,2019.0,1.0
Mecânica Industrial,2012.0,1.0,Engenharia Civil,2007.0,2,Engenharia De Estruturas,2003.0,2.0,Engenharia Elétrica,2018.0,1.0
Meio Ambiente,1999.0,1.0,Engenharia Industrial Elétrica,2002.0,2,Engenharia De Estruturas,2017.0,2.0,Engenharia Mecânica,2010.0,1.0
Meio Ambiente,2003.0,1.0,Engenharia Ambiental E Sanitária,2016.0,2,Geologia,2013.0,2.0,Desenvolvimento E Meio Ambiente - Prodema,2021.0,1.0
Meio Ambiente,2004.0,1.0,Licenciatura Plena Em Matemática,2008.0,2,Engenharia De Estruturas,2019.0,2.0,Ciência E Tecnologia De Alimentos,2016.0,1.0
Meio Ambiente,2005.0,1.0,Engenharia Industrial Elétrica,1999.0,2,Engenharia De Materiais,2005.0,2.0,Ciência Política,2017.0,1.0
Meio Ambiente,2006.0,1.0,Engenharia Civil,1991.0,2,Engenharia De Materiais,2010.0,2.0,Ciências,2014.0,1.0
Química Industrial,1999.0,1.0,Engenharia Elétrica,2006.0,2,Engenharia De Materiais,2012.0,2.0,Ciências Agrárias (fisiologia Vegetal),2021.0,1.0
Meio Ambiente,2007.0,1.0,Engenharia Civil,2009.0,2,Engenharia De Materiais,2020.0,2.0,Ciências Biologicas (microbiologia),2015.0,1.0
