Origem,Destino
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para A Graduação De Professores
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para A Graduação De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para A Graduação De Professores,Centro Universitário Moura Lacerda/MESTRADO/Educação
Centro Universitário Moura Lacerda/MESTRADO/Educação,Universidade de Franca/DOUTORADO/Ciências
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química/diurno
Universidade Federal de Minas Gerais/GRADUACAO/Química/diurno,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Engenharia Civil
Universidade FUMEC/GRADUACAO/Engenharia Civil,Universidade Federal de Viçosa/MESTRADO/Engenharia Civil
Universidade Federal de Viçosa/MESTRADO/Engenharia Civil,Universidade Federal do Rio Grande do Sul/DOUTORADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Escola de Engenharia/GRADUACAO/Engenharia Quimica
Escola de Engenharia/GRADUACAO/Engenharia Quimica,Universidade Federal de Uberlândia/MESTRADO/Engenharia Química
Universidade Federal de Uberlândia/MESTRADO/Engenharia Química,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Elétrica,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Engenharia Mecânica - Puc Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Ecole Nationale des Ponts et Chaussées - Paristech/MESTRADO/Sistemas Aquáticos E Gestão De Águas
Ecole Nationale des Ponts et Chaussées - Paristech/MESTRADO/Sistemas Aquáticos E Gestão De Águas,"Universidade Federal de Minas Gerais/DOUTORADO/Saneamento, Meio Ambiente E Recursos Hídricos"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Agronomia
Universidade Federal de Minas Gerais/GRADUACAO/Agronomia,Universidade Federal de Viçosa/MESTRADO/Agronomia (solos E Nutrição De Plantas)
Universidade Federal de Viçosa/MESTRADO/Agronomia (solos E Nutrição De Plantas),Universidade Federal de Ouro Preto/DOUTORADO/Evolução Crustal E Recursos Naturais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Quimica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Quimica
Universidade Federal de Minas Gerais/GRADUACAO/Quimica,Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/Ciencia E Tecnologia Dos Materiais
Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/Ciencia E Tecnologia Dos Materiais,"Centro de Desenvolvimento da Tecnologia Nuclear/DOUTORADO/Ciência Dos Materiais, Minerais E Radiações"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Espírito Santo/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Metalurgia E Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Metalurgia E Mecânica,Universidade Federal do Rio de Janeiro/MESTRADO/Engenharia De Produção
Universidade Federal do Rio de Janeiro/MESTRADO/Engenharia De Produção,Universidade Federal do Rio de Janeiro/DOUTORADO/Engenharia De Produção
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,St. Petersburg State Polytechnical University/GRADUACAO/Física
St. Petersburg State Polytechnical University/GRADUACAO/Física,Illinois Institute of Technology/MESTRADO/Ciência Da Computação
Illinois Institute of Technology/MESTRADO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matematica E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia
Universidade Federal de Minas Gerais/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Licenciatura Plena Em Matematica
Universidade Federal de Viçosa/GRADUACAO/Licenciatura Plena Em Matematica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos
Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos,Universidade Federal de Campina Grande/DOUTORADO/Engenharia De Processos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Engenharia Ambiental
None/MESTRADO/None,Universidade Federal de Viçosa/DOUTORADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Universidade Federal de Minas Gerais/MESTRADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem)
Universidade Federal de Minas Gerais/MESTRADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem),Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Uberlândia/GRADUACAO/Ciências Biológicas - Licenciatura Plena
Universidade Federal de Uberlândia/GRADUACAO/Ciências Biológicas - Licenciatura Plena,Universidade Federal de Uberlândia/MESTRADO/Imunologia E Parasitologia Aplicadas
Universidade Federal de Uberlândia/MESTRADO/Imunologia E Parasitologia Aplicadas,Universidade Federal de Uberlândia/DOUTORADO/Imunologia E Parasitologia Aplicadas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Pedagogia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Pedagogia
Universidade Federal de Viçosa/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica,Instituto de Medicina Social da Universidade do Estado do Rio de Janeiro/DOUTORADO/Pós-graduação Em Saúde Coletiva
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Direito
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Direito
Universidade Federal de Minas Gerais/GRADUACAO/Direito,Universidade Federal de Minas Gerais/MESTRADO/Ciência Política
Universidade Federal de Minas Gerais/MESTRADO/Ciência Política,Universidade de Brasília/DOUTORADO/Ciência Política
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
Universidade Federal de Minas Gerais/GRADUACAO/Física,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Instituto Nacional de Pesquisas Espaciais/DOUTORADO/Engenharia E Tecnologia Espaciais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Quimica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade de Filosofia Ciências e Letras de Belo Horizonte/GRADUACAO/Matemática
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Educação Física
Universidade Federal de Minas Gerais/MESTRADO/Educação Física,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia De Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia,Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social
Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Da Informação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fac. de Engenharia e Arquitetura da Fund. Mineira de Educação e Cultura/GRADUACAO/Arquitetura E Urbanismo
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fac. de Engenharia e Arquitetura da Fund. Mineira de Educação e Cultura/GRADUACAO/Arquitetura E Urbanismo
Fac. de Engenharia e Arquitetura da Fund. Mineira de Educação e Cultura/GRADUACAO/Arquitetura E Urbanismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,"Universidade Federal de Minas Gerais/DOUTORADO/ De Pós-graduação Em Engenharia Metalúrgica, Materiais E De Minas"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas,Pontifícia Universidade Católica do Rio Grande do Sul/MESTRADO/Zoologia
Pontifícia Universidade Católica do Rio Grande do Sul/MESTRADO/Zoologia,Pontifícia Universidade Católica do Rio Grande do Sul/DOUTORADO/Ecologia E Evolução Da Biodiversidade
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Escola de Minas/GRADUACAO/Eng Civil
Escola de Minas/GRADUACAO/Eng Civil,Instituto Alberto Luiz Coimbra de Pós Graduação e Pesquisa de Engenharia/MESTRADO/Engenharia De Transportes
Instituto Alberto Luiz Coimbra de Pós Graduação e Pesquisa de Engenharia/MESTRADO/Engenharia De Transportes,Universidade Federal do Rio de Janeiro/DOUTORADO/Engenharia De Transportes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,Universidade Federal de Minas Gerais/MESTRADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem)
Universidade Federal de Minas Gerais/MESTRADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem),Universidade Federal de Minas Gerais/DOUTORADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Operacional Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Operacional Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Física
Universidade Federal de Minas Gerais/MESTRADO/Física,Universidade Federal de Minas Gerais/DOUTORADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Química
Universidade Federal de Ouro Preto/GRADUACAO/Química,Universidade Federal de Minas Gerais/MESTRADO/Educação
Universidade Federal de Minas Gerais/MESTRADO/Educação,Universidade Federal de Minas Gerais/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Federal do Sudeste de Minas Gerais/GRADUACAO/Matemática
