Origem,Destino
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Em Eletricidade,Universidade Federal de Goiás/MESTRADO/Física
Universidade Federal de Goiás/MESTRADO/Física,Universidade Estadual Paulista Júlio de Mesquita Filho/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação
Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Gestão E Matemática - Prog. Esp. De Form. Ped.. P. Docentes,Pontifícia Universidade Católica de São Paulo/MESTRADO/Ciências Sociais
Pontifícia Universidade Católica de São Paulo/MESTRADO/Ciências Sociais,Universidade Federal de Minas Gerais/DOUTORADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química Analítica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Nacional de Telecomunicações/GRADUACAO/Engenharia Elétrica
Instituto Nacional de Telecomunicações/GRADUACAO/Engenharia Elétrica,Instituto Nacional de Telecomunicações/MESTRADO/Telecomunicações
Instituto Nacional de Telecomunicações/MESTRADO/Telecomunicações,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade para o Trabalho de Minas Gerais/GRADUACAO/Licenciatura Plena
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade para o Trabalho de Minas Gerais/GRADUACAO/Licenciatura Plena
Universidade para o Trabalho de Minas Gerais/GRADUACAO/Licenciatura Plena,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil,Universidade Federal de Minas Gerais/DOUTORADO/Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,University of Waterloo/DOUTORADO/Geografia E Gestão Ambiental
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Matemática
Universidade Federal de Minas Gerais/GRADUACAO/Matemática,Universidade Federal de Minas Gerais/MESTRADO/Matemática
Universidade Federal de Minas Gerais/MESTRADO/Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Geologia
Universidade Federal de Minas Gerais/GRADUACAO/Geologia,Universidade Federal de Minas Gerais/MESTRADO/Geologia
Universidade Federal de Minas Gerais/MESTRADO/Geologia,The University of Western Australia/DOUTORADO/Geology
Universidade Federal de Minas Gerais/MESTRADO/Geologia,The University of Western Australia/DOUTORADO/Geology
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas,Universidade Federal de Minas Gerais/MESTRADO/Ecologia (conservação E Manejo Da Vida Silvestre)
Universidade Federal de Minas Gerais/MESTRADO/Ecologia (conservação E Manejo Da Vida Silvestre),"Universidade Federal de Minas Gerais/DOUTORADO/Ecologia, Conservacao E Manejo Da Vida Silvestre"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Departamento de Engenharia Mecânica/MESTRADO/Engenharia Mecânica
Departamento de Engenharia Mecânica/MESTRADO/Engenharia Mecânica,Universidade Estadual de Campinas/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto de Química/GRADUACAO/Quimica
Instituto de Química/GRADUACAO/Quimica,Instituto de Química/MESTRADO/Química
Instituto de Química/MESTRADO/Química,Universidade Estadual de Campinas/DOUTORADO/Química
