Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
3772555251552040,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1997,,,,,,,,,,,,,,,,
3774316982731542,,,,,Turismo E Lazer,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,Turismo E Hospitalidade,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2009,,,,,,,,,,,,
3784737339513036,,,,,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2012,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,,,,
3785723672533502,,,,,,,,,,,,,Doce&#770;ncia Para Educac&#807;a&#771;o Profissional E Tecnolo&#769;gica,Centro Federal de Educação Tecnológica de Minas Gerais,2021,,,,,,,,,
3829215216822072,,,,,,,,,Licenciatura Plena Para Graduação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1997,,,,,,,,,,,,
3835315845534573,,,,,,,,,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1998,2002,,,,,,,,,,,,
3979732857560995,,,,,,,,,Tecnologia Em Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2009,,,,,,,,,,,,
4122431107919183,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1996,1999,,,,,,,,,,,,,,,,
4165808414522521,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2003,,,,,,,,,,,,,,,,
4180805476847844,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1996,Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2003,,,,,,,,,,,,
4194131672447100,,,,,Eletrônica,Centro Federal de Educação Tecnológica de Minas Gerais,1978,1981,,,,,,,,,,,,,,,,
4200591651892510,,,,,,,,,Engenharia De Produção E Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2006,,,,,Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2009,,,,
4259247365857302,,,,,,,,,Tecnologia Em Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2008,,,,,,,,,,,,
4266313293704237,,,,,,,,,Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1981,1986,,,,,,,,,,,,
4276256422569031,,,,,,,,,,,,,,,,,,,,,Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais,2015,2019
4314325660217895,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,,,,,,,,,,,,,
4340315896207802,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1992,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1998,,,,,,,,,,,,
4357223967149299,,,,,Edificações,Centro Federal de Educação Tecnológica de Minas Gerais,1991,1993,,,,,,,,,,,,,,,,
4360044696999610,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1995,,,,,,,,,,,,,,,,
4402320597450647,,,,,,,,,,,,,,,,,Educação Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2009,,,,
,,,,, Meânica,Centro Federal de Educação Tecnológica de Minas Gerais,1978,1981,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1999,,,,,,,,,,,,
