Identificador,Pontuação
8399151904440441,1
8413010442437063,2
8417706517690490,1
8419272818208637,1
8420835899029582,1
8423467378701749,1
8469945051540974,1
8490610115628676,2
8493224550886187,1
8525193347383865,2
8533403769344054,1
8549630100281575,1
8550557298525266,2
,1
8559939394286387,2
8574063108861559,1
8575184713115130,1
8588825680430720,1
8588843645124965,1
8601109569262887,1
8607097094259936,1
8636672177012954,1
8637166118721177,2
8639488555354274,1
8643253937039437,1
8651695540434657,1
8662881486262492,1
8669520359478396,2
8682730834485448,1
8711860705425837,1
8713273529478602,1
8733803872306754,1
8757467015273701,2
8777093809077442,2
8814881973882821,2
8842769319920921,1
8849115379503469,1
8857969451152439,1
8859859372435231,1
8872247672468683,1
,1
8875985231124386,1
8880044738081621,1
8880485095574300,1
8882476313688983,2
8890192319510156,1
8890702544807541,1
8893036475299265,1
8931632051743604,1
8935596682649611,3
8941322442594270,1
8976953031734294,1
8987245780296021,1
9002478972691907,1
9005080117647839,2
9007378789881575,1
9021909788791062,3
9025531526486273,1
9026082140942403,1
9041675086243285,1
9057694146615399,2
9067945091771898,1
,1
9105929982382119,1
9123423980082942,1
9132922112754255,1
9137063049020992,1
9146004580313325,2
9151609077390791,2
9154856028155566,1
9158102147518437,1
9183470221179987,1
9184261603227889,1
9188065534919235,1
9190982328302392,1
9200916390840755,1
9201327827768570,1
9209838583012439,1
9211107922469506,1
9243461251141458,2
9249261879776940,1
9262250330669762,1
9268839602886331,1
9279347827371847,2
9298859485179703,1
9304670806424025,1
9315077108372713,1
9333187368585979,1
9335850876531285,1
9337698609421148,3
9343948162833263,1
,1
9379573074028138,1
9400428714968901,1
9404626303862593,1
9414495095303327,1
9417683579389517,1
,1
,1
9431676052052565,1
9444010935383508,1
9444042971968548,1
9444054046936703,1
,1
9463732877236531,1
9473666830494522,1
9477040511534268,1
9483034344491394,1
9494647299593318,1
9502306490946122,1
9526244340871319,1
9534681736915711,1
9555880037472548,1
9558316732452082,1
9579932828054041,1
9582245252680781,1
9584546680295591,1
,1
9594901380554916,1
9604981002731747,1
9617068678301581,1
9626388022838531,1
9630149143584621,3
9644414437614319,1
9649269793003605,1
9670276813114777,2
9691853002859478,2
9694879247981276,3
