Identificador,Grande Área,Área
1260730935714266,CIENCIAS_BIOLOGICAS,Botânica
1265896962100382,CIENCIAS_SOCIAIS_APLICADAS,Economia
1272123236892781,CIENCIAS_EXATAS_E_DA_TERRA,Astronomia
1275187715540959,CIENCIAS_EXATAS_E_DA_TERRA,Física
1280123047954585,CIENCIAS_BIOLOGICAS,Genética
1280835655867163,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
1284343084296509,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
1285440913307104,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
1287479281990951,CIENCIAS_AGRARIAS,Zootecnia
1292986021348016,CIENCIAS_AGRARIAS,Agronomia
1298675801318069,CIENCIAS_SOCIAIS_APLICADAS,Comunicação
1298757533709756,CIENCIAS_HUMANAS,Antropologia
1301443198267856,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1308909292661318,CIENCIAS_SOCIAIS_APLICADAS,Economia
1311501835612173,CIENCIAS_EXATAS_E_DA_TERRA,Física
1311942898923026,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
1313497098151734,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
1316890126544558,CIENCIAS_SOCIAIS_APLICADAS,Economia
1329671245559098,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1331652492006790,ENGENHARIAS,Engenharia Elétrica
1333492927266447,CIENCIAS_EXATAS_E_DA_TERRA,Química
1335748426615308,CIENCIAS_AGRARIAS,Agronomia
1340874503334328,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
1345781867765758,CIENCIAS_BIOLOGICAS,Bioquímica
1347762602289126,CIENCIAS_EXATAS_E_DA_TERRA,Química
1350890583236601,CIENCIAS_AGRARIAS,Agronomia
1365069692823435,CIENCIAS_AGRARIAS,Agronomia
1367814169798369,CIENCIAS_EXATAS_E_DA_TERRA,Física
1370982860554059,,
1372350061362908,CIENCIAS_AGRARIAS,Medicina Veterinária
1372738121180882,ENGENHARIAS,Engenharia Elétrica
1373735074676560,CIENCIAS_BIOLOGICAS,Ecologia
1379773445574323,ENGENHARIAS,Engenharia Mecânica
1383132635213481,CIENCIAS_BIOLOGICAS,Microbiologia
1392206843733548,CIENCIAS_EXATAS_E_DA_TERRA,Física
1392441615039712,CIENCIAS_EXATAS_E_DA_TERRA,Química
1394248306018449,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1394614382145568,CIENCIAS_AGRARIAS,Agronomia
1395635597581964,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1396815209817592,OUTROS,Ciências Ambientais
1404632471755241,ENGENHARIAS,Engenharia Elétrica
1404677789393501,CIENCIAS_BIOLOGICAS,Botânica
1404779120165713,CIENCIAS_BIOLOGICAS,Zoologia
1406465696921638,CIENCIAS_AGRARIAS,Medicina Veterinária
1407333570398397,CIENCIAS_AGRARIAS,Recursos Pesqueiros e Engenharia de Pesca
1408146861745409,CIENCIAS_HUMANAS,Educação
1409347439701189,CIENCIAS_AGRARIAS,Agronomia
1409353191899248,CIENCIAS_BIOLOGICAS,Ecologia
1414078365813012,CIENCIAS_SOCIAIS_APLICADAS,Administração
1420784392366957,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1428714535243632,CIENCIAS_BIOLOGICAS,Genética
1442630848899574,ENGENHARIAS,Engenharia de Produção
1448696292042915,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1451292968192270,CIENCIAS_BIOLOGICAS,Botânica
1458174636717400,CIENCIAS_SOCIAIS_APLICADAS,Direito
1459858386214202,CIENCIAS_SOCIAIS_APLICADAS,Economia
1460935168710629,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1464736447995067,ENGENHARIAS,Engenharia Civil
1472037977658347,ENGENHARIAS,Engenharia Mecânica
1489638551264369,CIENCIAS_AGRARIAS,Agronomia
1500695593391363,CIENCIAS_HUMANAS,Psicologia
1500945601867299,CIENCIAS_DA_SAUDE,Farmácia
1501948551335718,CIENCIAS_BIOLOGICAS,Zoologia
1503203554671446,CIENCIAS_AGRARIAS,Agronomia
1508679345970114,CIENCIAS_AGRARIAS,Agronomia
1512994126787334,CIENCIAS_BIOLOGICAS,Zoologia
