source,target
Universidade Do Vale Do Rio Dos Sinos,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade De São Paulo
Universidade Federal Do Rio Grande,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Virginia Institute Of Marine Science
Universidade Federal De Santa Maria,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Estadual De Maringá,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal Da Paraíba,Universidade Federal De Campina Grande
Universidade Federal De Campina Grande,Universidade Federal De Campina Grande
Universidade Federal De Minas Gerais,Instituto Nacional De Pesquisas Espaciais
Instituto Nacional De Pesquisas Espaciais,Johannes Kepler Universität Linz
Universidade Federal Da Paraíba,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade De Brasília
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
