CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
 Eletrônica,1980.0,1,Engenharia Mecânica,1975.0,1.0,,,,,,
 Eletrônica Industrial,1991.0,1,Engenharia Mecânica,1978.0,1.0,,,,,,
 Eletrônica Industrial,1994.0,1,Engenharia Mecânica,1981.0,1.0,,,,,,
 Eletrônico,1999.0,1,Engenharia Mecânica,1986.0,1.0,,,,,,
 Industrial De Mecânica,1985.0,1,Engenharia Mecânica,1987.0,1.0,,,,,,
 Industrial Em Eletrônica,1990.0,1,Engenharia Mecânica,1989.0,1.0,,,,,,
 Industrial Em Eletrônica,1992.0,1,Engenharia Mecânica,1990.0,1.0,,,,,,
 Industrial Em Eletrônica,1993.0,1,Engenharia Mecânica,1994.0,1.0,,,,,,
 Industrial Em Mecânica,1970.0,1,Engenharia Mecânica,1997.0,1.0,,,,,,
 Industrial Em Quimica,1994.0,1,Engenharia Mecânica,2020.0,1.0,,,,,,
 Industrial Em Química,1995.0,1,Engenharia Operacional Elétrica,1976.0,1.0,,,,,,
 Industrial Em Química,2005.0,1,Engenharia Industrial Mecânica,1995.0,1.0,,,,,,
 Industrial Em Saneamento,1994.0,1,Engenharia Industrial Mecânica,1990.0,1.0,,,,,,
 Mecânica,1976.0,1, Especial De Formação De Professores,1994.0,1.0,,,,,,
 Mecânica Industrial,2004.0,1,Engenharia Industrial Elétrica,1998.0,1.0,,,,,,
 Mecânico,1976.0,1,Engenharia Industrial Eletrica,2005.0,1.0,,,,,,
 Mecânico,1977.0,1,Engenharia Industrial Elétrica,1982.0,1.0,,,,,,
 Mecânico,1981.0,1,Engenharia Industrial Elétrica,1983.0,1.0,,,,,,
 Mecânico,1987.0,1,Engenharia Industrial Elétrica,1984.0,1.0,,,,,,
 Mecânico,1992.0,1,Engenharia Industrial Elétrica,1987.0,1.0,,,,,,
Eletromecânica,2001.0,1,Engenharia Industrial Elétrica,1992.0,1.0,,,,,,
Eletromecânica,2002.0,1,Engenharia Industrial Elétrica,1994.0,1.0,,,,,,
Eletromecânica,2004.0,1,Engenharia Industrial Elétrica,2004.0,1.0,,,,,,
Eletrônica,1978.0,1,Engenharia Industrial Mecânica,1985.0,1.0,,,,,,
Eletrônica,1987.0,1,Engenharia Industrial Elétrica,2005.0,1.0,,,,,,
Eletrônica,1988.0,1,Engenharia Industrial Elétrica,2006.0,1.0,,,,,,
Eletrônica,1989.0,1,Engenharia Industrial Mecanica,1990.0,1.0,,,,,,
Eletrônica,1991.0,1,Engenharia Industrial Mecanica,2001.0,1.0,,,,,,
Eletrônica,2002.0,1,Engenharia Industrial Mecânica,1981.0,1.0,,,,,,
Eletrônica,2005.0,1,Engenharia Industrial Mecânica,1982.0,1.0,,,,,,
Eletrônica,2007.0,1,Engenharia Industrial Mecânica,1983.0,1.0,,,,,,
Eletrônica,2008.0,1,Turismo E Hospitalidade,2008.0,1.0,,,,,,
Eletrônica,2009.0,1,,,,,,,,,
Eletrônica Industrial,1993.0,1,,,,,,,,,
Equipamentos Biomédicos,2005.0,1,,,,,,,,,
Equipamentos Para A Área Da Saúde,2008.0,1,,,,,,,,,
