CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
,,,Engenharia Mecânica,1988.0,3.0,Antropologia Social,1985.0,2.0,Ciência E Engenharia Dos Materiais,2005.0,2
,,,Engenharia Mecânica,1992.0,3.0,Antropologia Social,1996.0,2.0,Ciências Farmacêuticas,2010.0,2
,,,Agronomia,1995.0,3.0,Antropologia Social,1998.0,2.0,Ciências Farmacêuticas,2009.0,2
,,,Engenharia Mecânica,1994.0,3.0,Antropologia Social,2007.0,2.0,Engenharia De Sistemas E Computação,2000.0,2
,,,Engenharia Mecânica,1998.0,3.0,Física,2013.0,2.0,Engenharia Civil,1998.0,2
,,,Engenharia Metalúrgica,1977.0,3.0,Filosofia,1995.0,2.0,Bioquímica,1997.0,2
,,,Engenharia Metalúrgica,1979.0,3.0,Filosofia,1996.0,2.0,Engenharia Civil,1983.0,2
,,,Engenharia Química,1976.0,3.0,Filosofia,1999.0,2.0,Engenharia Elétrica,2017.0,2
,,,Engenharia Química,1977.0,3.0,Filosofia,2003.0,2.0,Engenharia Biomédica,2006.0,2
,,,Ciências Econômicas,2003.0,3.0,Fitopatologia,1992.0,2.0,Ecologia E Recursos Naturais,2009.0,2
,,,Agronomia,2006.0,3.0,Fitotecnia,2000.0,2.0,Engenharia Biomédica,2002.0,2
,,,Engenharia Química,1984.0,3.0,Arquitetura E Urbanismo,2004.0,2.0,Ecologia De Ambientes Aquáticos Continentais,2001.0,2
,,,Engenharia Química,1985.0,3.0,Física,1976.0,2.0,Economia Aplicada,2011.0,2
,,,Engenharia Química,1988.0,3.0,Física,1984.0,2.0,Direito,2006.0,2
,,,Ciências Econômicas,2004.0,3.0,Física,1990.0,2.0,Ciências Da Computação,2015.0,2
,,,Agronomia,2010.0,3.0,Engenharia Química,1992.0,2.0,Ciências Da Computação,2012.0,2
,,,Engenharia Agronômica,2004.0,3.0,Engenharia Química,1997.0,2.0,Ciências Da Computação,2011.0,2
,,,Engenharia Química,1999.0,3.0,Entomologia,1990.0,2.0,Ciências Biológicas (bioquímica),2000.0,2
,,,Ciências Econômicas,2007.0,3.0,Estatística,1996.0,2.0,Ecologia (conservação E Manejo Da Vida Silvestre),2009.0,2
,,,Farmácia,1985.0,3.0,Estatística,2011.0,2.0,Ciências,2011.0,2
,,,Farmácia,1988.0,3.0,Farmacologia,1990.0,2.0,Direito,2003.0,2
,,,Engenharia De Alimentos,2002.0,3.0,Farmacologia,1995.0,2.0,Direito,1998.0,2
,,,Farmácia,1995.0,3.0,Filosofia,1992.0,2.0,Engenharia Civil,1996.0,2
,,,Farmácia,1999.0,3.0,Filosofia,1994.0,2.0,Ciências Biológicas (botânica),1998.0,2
,,,Farmácia,2001.0,3.0,Engenharia Mecânica,2002.0,2.0,Ciências Biológicas (botânica),1997.0,2
,,,Fisica,1978.0,3.0,Engenharia Mecânica,2008.0,2.0,Ciências Biológicas (botânica),1994.0,2
,,,Física,1973.0,3.0,Genética E Biologia Molecular,2001.0,2.0,Arquitetura E Urbanismo,2008.0,2
,,,Física,1974.0,3.0,Genética E Melhoramento,1983.0,2.0,Ciência Social (antropologia Social),2000.0,2
,,,Física,1976.0,3.0,Genética E Melhoramento,1984.0,2.0,Ecologia (conservação E Manejo Da Vida Silvestre),2004.0,2
,,,Física,1977.0,3.0,Genética E Melhoramento De Plantas,1990.0,2.0,Enfermagem,2009.0,2
,,,Física,1981.0,3.0,Genética E Melhoramento De Plantas,1998.0,2.0,Engenharia Civil,1993.0,2
,,,Engenharia Elétrica,1995.0,3.0,Genética E Melhoramento De Plantas,1999.0,2.0,Ecologia,2008.0,2
,,,Física,1983.0,3.0,Genética E Melhoramento De Plantas,2006.0,2.0,Ecologia,2007.0,2
,,,Engenharia De Alimentos,2006.0,3.0,Geociências,1993.0,2.0,Engenharia Civil,1991.0,2
,,,Física,1990.0,3.0,Geociências,1994.0,2.0,Desenvolvimento Econômico,2011.0,2
,,,Engenharia Elétrica,1998.0,3.0,Geociências,1999.0,2.0,Ciência Política,2005.0,2
,,,Física,1996.0,3.0,Geografia,2000.0,2.0,Ciências (microbiologia),1997.0,2
,,,Física,1998.0,3.0,Física,1992.0,2.0,Engenharia Elétrica,1990.0,2
,,,Física,2004.0,3.0,Física,1996.0,2.0,Desenvolvimento Econômico,2008.0,2
,,,Engenharia Agrícola,1989.0,3.0,Engenharia Metalúrgica,1996.0,2.0,Engenharia Elétrica,2015.0,2
,,,Física,2007.0,3.0,Engenharia Metalúrgica E De Materiais,1980.0,2.0,Engenharia Agrícola,2009.0,2
,,,Geografia,1987.0,3.0,Engenharia Metalúrgica E De Minas,1986.0,2.0,Ecologia E Recursos Naturais,2003.0,2
,,,Engenharia Elétrica,1975.0,3.0,Engenharia Nuclear,1977.0,2.0,Ciências Veterinárias,2005.0,2
,,,Geografia,2004.0,3.0,Biologia De Fungos,2005.0,2.0,Ecologia E Recursos Naturais,2001.0,2
,,,Geologia,1978.0,3.0,Engenharia Nuclear,1996.0,2.0,Ciências Veterinárias,1998.0,2
,,,Ciências Sociais,1999.0,3.0,Engenharia Química,1989.0,2.0,Ciências Farmacêuticas,2008.0,2
