CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Engenharia Elétrica,1996.0,1.0,Geologia,1978.0,12.0,Enfermagem,2002.0,8.0,Engenharia Química,1992.0,8
Estatística,1982.0,1.0,Ciência Da Computação,2006.0,12.0,Ciência Da Computação,2003.0,8.0,Ecologia,2002.0,8
Estradas,1992.0,1.0,Medicina,1992.0,12.0,Engenharia Elétrica,1987.0,8.0,Ciências Biológicas (zoologia),2000.0,8
Estradas,1998.0,1.0,Ciências Sociais,1986.0,12.0,Medicina Veterinária,2000.0,8.0,Engenharia Mecânica,2010.0,8
Ferramentaria,1992.0,1.0,Odontologia,1990.0,12.0,Ciências Biológicas (bioquímica),1999.0,8.0,Zootecnia,2010.0,8
Ferramentaria De Moldes,2003.0,1.0,História,1994.0,12.0,Engenharia Elétrica,1996.0,8.0,Ciências Biológicas (biologia Molecular),1993.0,7
Formação De Analistas De Sistemas,1990.0,1.0,Farmácia,1994.0,12.0,Genética E Melhoramento,1997.0,8.0,Ciências Sociais,2003.0,7
Formação De Professores,1969.0,1.0,Engenharia Química,1991.0,12.0,História,1999.0,8.0,Administração,2010.0,7
Geologia,1980.0,1.0,Psicologia,1993.0,12.0,Física,1975.0,8.0,Ciências Sociais,2002.0,7
Geologia E Mineração,2002.0,1.0,Ciências Sociais,1992.0,12.0,Ciências Farmacêuticas,2002.0,8.0,Biotecnologia,2008.0,7
Geologia Nível Médio,1980.0,1.0,História,1995.0,12.0,Zootecnia,1993.0,8.0,Ciências Biológicas (bioquímica),2007.0,7
Gestão Com Abilitação Em Administração,2004.0,1.0,Física,1976.0,12.0,Zootecnia,2002.0,8.0,Economia,2012.0,7
Habilitação Básica Em Patologia Clínica,1988.0,1.0,Geologia,1983.0,12.0,Zootecnia,2004.0,8.0,Ciências Biológicas (zoologia),2003.0,7
Habilitação Em Química,1978.0,1.0,Engenharia Elétrica,1984.0,12.0,Filosofia,1986.0,7.0,Biologia Celular E Molecular,1998.0,7
Habilitação Profissional De Informática,2001.0,1.0,Ciências Biológicas,1974.0,12.0,Engenharia Civil,2004.0,7.0,Administração,2006.0,7
Habilitação Profissional Plena Para O Magistério Anos Iniciais Do Ensino Fu,1988.0,1.0,Farmácia,2002.0,12.0,Engenharia Civil,2001.0,7.0,Administração,2005.0,7
